,val,time,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,iteration
0,3.907892690973052e-05,0.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,0.0,0.0
1,4.836107936260569e-05,1.5791377389996342,1.0,-8.958523271155462,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,0.0,1.0
3,5.533694915093623e-05,1.6368398270005855,1.0,-8.958523271155462,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,3.956836662281906,3.0
6,5.8706035378239824e-05,1.2511938139996346,1.0,-8.958523271155462,2.488198428823273,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,3.956836662281906,6.0
19,6.737951659852196e-05,1.2513390019994404,1.0,-0.9190816671759824,2.488198428823273,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,3.956836662281906,19.0
23,0.0580467382037115,0.7449144629999864,-2.1567817881571125,-0.9190816671759824,2.488198428823273,0.0,1.0,0.3333333333333333,0.3333333333333333,3.333333333333333,3.956836662281906,23.0
24,0.523275284844563,0.7674692440004947,-2.1567817881571125,-0.9190816671759824,2.488198428823273,0.0,1.0,1.0,0.3333333333333333,3.333333333333333,3.956836662281906,24.0
25,0.5952473885961562,0.7538864850002938,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,1.0,1.0,0.3333333333333333,3.333333333333333,3.956836662281906,25.0
30,0.617084207077811,0.7705611489991497,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,2.405599446180934,1.0,0.3333333333333333,3.333333333333333,3.956836662281906,30.0
36,0.8759692241731178,0.6770881889997327,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,2.405599446180934,0.8275455836266876,0.3333333333333333,3.333333333333333,3.956836662281906,36.0
73,0.909525603069654,0.6714797949998683,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,2.405599446180934,0.8275455836266876,0.3333333333333333,3.333333333333333,-2.3155913766619123,73.0
163,0.9247635061014718,0.6799302270001135,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,2.405599446180934,0.8275455836266876,0.3333333333333333,3.333333333333333,-9.040169963175908,163.0
294,0.94785257444989,0.6848715260002791,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,2.405599446180934,0.8275455836266876,0.3333333333333333,3.333333333333333,-3.874623573147872,294.0
318,0.9711238811810028,0.6578858390003006,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-6.131015257951638,0.8275455836266876,0.3333333333333333,3.333333333333333,-3.874623573147872,318.0
335,1.037354059117798,0.6725723399995331,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-6.131015257951638,1.0,0.3333333333333333,3.333333333333333,-3.874623573147872,335.0
347,1.0571696551161862,0.6656993939996028,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-6.131015257951638,1.0,0.3333333333333333,3.333333333333333,2.472384577942192,347.0
371,1.3412041798185754,0.6996617989998413,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-6.131015257951638,1.0,0.3333333333333333,3.333333333333333,2.472384577942192,371.0
609,1.4468994428949629,0.6507787089994963,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-10.0,1.0,0.3333333333333333,3.333333333333333,2.472384577942192,609.0
663,1.4800824219370905,0.6627608480002891,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-10.0,1.0,0.3333333333333333,3.333333333333333,-4.3232952570268965,663.0
784,1.5624559379270408,0.6722050959997432,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-10.0,1.0,0.3333333333333333,3.333333333333333,-4.3232952570268965,784.0
997,1.7955546155111377,0.6715413540005102,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-10.0,1.0,0.3333333333333333,3.333333333333333,-4.3232952570268965,997.0
1205,1.9076472248684864,0.6447175760004029,-2.1567817881571125,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-10.0,1.0,0.7880614210903085,3.333333333333333,-4.3232952570268965,1205.0
1627,1.9691311982318649,0.665968506000354,-2.073368225162308,-0.9190816671759824,2.488198428823273,-0.0583847833527984,-10.0,1.0,0.7880614210903085,3.333333333333333,-4.3232952570268965,1627.0
